Date,GEO,Sex,Characteristics,Estimates,UOM,VALUE
2017/2018,Canada,Both sexes,"Total, selected characteristics",Number of persons,Number,10981700
2017/2018,Canada,Both sexes,"Total, selected characteristics",Percentage of persons,Percent,37.8
2017/2018,Canada,Both sexes,"Total, selected characteristics","Low 95% confidence interval, percentage",Percent,37.4
2017/2018,Canada,Both sexes,"Total, selected characteristics","High 95% confidence interval, percentage",Percent,38.3
2017/2018,Canada,Both sexes,"High school or less, household education",Number of persons,Number,2719900
2017/2018,Canada,Both sexes,"High school or less, household education",Percentage of persons,Percent,49.3
2017/2018,Canada,Both sexes,"High school or less, household education","Low 95% confidence interval, percentage",Percent,48.2
2017/2018,Canada,Both sexes,"High school or less, household education","High 95% confidence interval, percentage",Percent,50.3
2017/2018,Canada,Both sexes,"At least post-secondary education, household education",Number of persons,Number,7704000
2017/2018,Canada,Both sexes,"At least post-secondary education, household education",Percentage of persons,Percent,34.7
2017/2018,Canada,Both sexes,"At least post-secondary education, household education","Low 95% confidence interval, percentage",Percent,34.1
2017/2018,Canada,Both sexes,"At least post-secondary education, household education","High 95% confidence interval, percentage",Percent,35.2
2017/2018,Canada,Both sexes,"Lowest income, household income",Number of persons,Number,3953100
2017/2018,Canada,Both sexes,"Lowest income, household income",Percentage of persons,Percent,41
2017/2018,Canada,Both sexes,"Lowest income, household income","Low 95% confidence interval, percentage",Percent,40.1
2017/2018,Canada,Both sexes,"Lowest income, household income","High 95% confidence interval, percentage",Percent,41.8
2017/2018,Canada,Both sexes,"Middle income, household income",Number of persons,Number,3679100
2017/2018,Canada,Both sexes,"Middle income, household income",Percentage of persons,Percent,38.1
2017/2018,Canada,Both sexes,"Middle income, household income","Low 95% confidence interval, percentage",Percent,37.3
2017/2018,Canada,Both sexes,"Middle income, household income","High 95% confidence interval, percentage",Percent,39
2017/2018,Canada,Both sexes,"Highest income, household income",Number of persons,Number,3316200
2017/2018,Canada,Both sexes,"Highest income, household income",Percentage of persons,Percent,34.4
2017/2018,Canada,Both sexes,"Highest income, household income","Low 95% confidence interval, percentage",Percent,33.5
2017/2018,Canada,Both sexes,"Highest income, household income","High 95% confidence interval, percentage",Percent,35.2
