"REF_DATE","GEO","DGUID","Sex","Age groups","Student response","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1994","Austria","","Males","11 years","Yes","Percent","239","units ","0","v825139","1.1.1.1","12","","","","0"
"1994","Austria","","Males","11 years","No, because my weight is fine","Percent","239","units ","0","v825137","1.1.1.2","73","","","","0"
"1994","Austria","","Males","11 years","No, but I need to lose weight","Percent","239","units ","0","v825138","1.1.1.3","15","","","","0"
"1994","Austria","","Males","13 years","Yes","Percent","239","units ","0","v825313","1.1.2.1","11","","","","0"
"1994","Austria","","Males","13 years","No, because my weight is fine","Percent","239","units ","0","v825311","1.1.2.2","71","","","","0"
"1994","Austria","","Males","13 years","No, but I need to lose weight","Percent","239","units ","0","v825312","1.1.2.3","18","","","","0"
"1994","Austria","","Males","15 years","Yes","Percent","239","units ","0","v825487","1.1.3.1","5","","","","0"
"1994","Austria","","Males","15 years","No, because my weight is fine","Percent","239","units ","0","v825485","1.1.3.2","80","","","","0"
"1994","Austria","","Males","15 years","No, but I need to lose weight","Percent","239","units ","0","v825486","1.1.3.3","15","","","","0"
"1994","Austria","","Females","11 years","Yes","Percent","239","units ","0","v825142","1.2.1.1","14","","","","0"
"1994","Austria","","Females","11 years","No, because my weight is fine","Percent","239","units ","0","v825140","1.2.1.2","66","","","","0"
"1994","Austria","","Females","11 years","No, but I need to lose weight","Percent","239","units ","0","v825141","1.2.1.3","19","","","","0"
"1994","Austria","","Females","13 years","Yes","Percent","239","units ","0","v825316","1.2.2.1","15","","","","0"
"1994","Austria","","Females","13 years","No, because my weight is fine","Percent","239","units ","0","v825314","1.2.2.2","57","","","","0"
"1994","Austria","","Females","13 years","No, but I need to lose weight","Percent","239","units ","0","v825315","1.2.2.3","28","","","","0"
"1994","Austria","","Females","15 years","Yes","Percent","239","units ","0","v825490","1.2.3.1","19","","","","0"
"1994","Austria","","Females","15 years","No, because my weight is fine","Percent","239","units ","0","v825488","1.2.3.2","49","","","","0"
"1994","Austria","","Females","15 years","No, but I need to lose weight","Percent","239","units ","0","v825489","1.2.3.3","32","","","","0"
"1994","Belgium (Flemish speaking)","","Males","11 years","Yes","Percent","239","units ","0","v825145","2.1.1.1","6","","","","0"
"1994","Belgium (Flemish speaking)","","Males","11 years","No, because my weight is fine","Percent","239","units ","0","v825143","2.1.1.2","76","","","","0"
"1994","Belgium (Flemish speaking)","","Males","11 years","No, but I need to lose weight","Percent","239","units ","0","v825144","2.1.1.3","18","","","","0"
"1994","Belgium (Flemish speaking)","","Males","13 years","Yes","Percent","239","units ","0","v825319","2.1.2.1","4","","","","0"
"1994","Belgium (Flemish speaking)","","Males","13 years","No, because my weight is fine","Percent","239","units ","0","v825317","2.1.2.2","78","","","","0"
"1994","Belgium (Flemish speaking)","","Males","13 years","No, but I need to lose weight","Percent","239","units ","0","v825318","2.1.2.3","18","","","","0"
"1994","Belgium (Flemish speaking)","","Males","15 years","Yes","Percent","239","units ","0","v825493","2.1.3.1","4","","","","0"
"1994","Belgium (Flemish speaking)","","Males","15 years","No, because my weight is fine","Percent","239","units ","0","v825491","2.1.3.2","82","","","","0"
"1994","Belgium (Flemish speaking)","","Males","15 years","No, but I need to lose weight","Percent","239","units ","0","v825492","2.1.3.3","14","","","","0"
"1994","Belgium (Flemish speaking)","","Females","11 years","Yes","Percent","239","units ","0","v825148","2.2.1.1","8","","","","0"
"1994","Belgium (Flemish speaking)","","Females","11 years","No, because my weight is fine","Percent","239","units ","0","v825146","2.2.1.2","67","","","","0"
"1994","Belgium (Flemish speaking)","","Females","11 years","No, but I need to lose weight","Percent","239","units ","0","v825147","2.2.1.3","25","","","","0"
"1994","Belgium (Flemish speaking)","","Females","13 years","Yes","Percent","239","units ","0","v825322","2.2.2.1","9","","","","0"
"1994","Belgium (Flemish speaking)","","Females","13 years","No, because my weight is fine","Percent","239","units ","0","v825320","2.2.2.2","60","","","","0"
"1994","Belgium (Flemish speaking)","","Females","13 years","No, but I need to lose weight","Percent","239","units ","0","v825321","2.2.2.3","32","","","","0"
"1994","Belgium (Flemish speaking)","","Females","15 years","Yes","Percent","239","units ","0","v825496","2.2.3.1","10","","","","0"
"1994","Belgium (Flemish speaking)","","Females","15 years","No, because my weight is fine","Percent","239","units ","0","v825494","2.2.3.2","50","","","","0"
"1994","Belgium (Flemish speaking)","","Females","15 years","No, but I need to lose weight","Percent","239","units ","0","v825495","2.2.3.3","40","","","","0"
"1994","Belgium (French speaking)","","Males","11 years","Yes","Percent","239","units ","0","v825151","3.1.1.1","9","","","","0"
"1994","Belgium (French speaking)","","Males","11 years","No, because my weight is fine","Percent","239","units ","0","v825149","3.1.1.2","70","","","","0"
"1994","Belgium (French speaking)","","Males","11 years","No, but I need to lose weight","Percent","239","units ","0","v825150","3.1.1.3","21","","","","0"
"1994","Belgium (French speaking)","","Males","13 years","Yes","Percent","239","units ","0","v825325","3.1.2.1","8","","","","0"
"1994","Belgium (French speaking)","","Males","13 years","No, because my weight is fine","Percent","239","units ","0","v825323","3.1.2.2","71","","","","0"
"1994","Belgium (French speaking)","","Males","13 years","No, but I need to lose weight","Percent","239","units ","0","v825324","3.1.2.3","21","","","","0"
"1994","Belgium (French speaking)","","Males","15 years","Yes","Percent","239","units ","0","v825499","3.1.3.1","6","","","","0"
"1994","Belgium (French speaking)","","Males","15 years","No, because my weight is fine","Percent","239","units ","0","v825497","3.1.3.2","74","","","","0"
"1994","Belgium (French speaking)","","Males","15 years","No, but I need to lose weight","Percent","239","units ","0","v825498","3.1.3.3","20","","","","0"
"1994","Belgium (French speaking)","","Females","11 years","Yes","Percent","239","units ","0","v825154","3.2.1.1","17","","","","0"
"1994","Belgium (French speaking)","","Females","11 years","No, because my weight is fine","Percent","239","units ","0","v825152","3.2.1.2","59","","","","0"
"1994","Belgium (French speaking)","","Females","11 years","No, but I need to lose weight","Percent","239","units ","0","v825153","3.2.1.3","23","","","","0"
"1994","Belgium (French speaking)","","Females","13 years","Yes","Percent","239","units ","0","v825328","3.2.2.1","19","","","","0"
"1994","Belgium (French speaking)","","Females","13 years","No, because my weight is fine","Percent","239","units ","0","v825326","3.2.2.2","51","","","","0"
"1994","Belgium (French speaking)","","Females","13 years","No, but I need to lose weight","Percent","239","units ","0","v825327","3.2.2.3","31","","","","0"
"1994","Belgium (French speaking)","","Females","15 years","Yes","Percent","239","units ","0","v825502","3.2.3.1","27","","","","0"
"1994","Belgium (French speaking)","","Females","15 years","No, because my weight is fine","Percent","239","units ","0","v825500","3.2.3.2","42","","","","0"
"1994","Belgium (French speaking)","","Females","15 years","No, but I need to lose weight","Percent","239","units ","0","v825501","3.2.3.3","31","","","","0"
"1994","Canada","","Males","11 years","Yes","Percent","239","units ","0","v825157","4.1.1.1","5","","","","0"
"1994","Canada","","Males","11 years","No, because my weight is fine","Percent","239","units ","0","v825155","4.1.1.2","78","","","","0"
"1994","Canada","","Males","11 years","No, but I need to lose weight","Percent","239","units ","0","v825156","4.1.1.3","17","","","","0"
