submission_date,state,case_number,death_number,new_death
2021-03-11,KS,0.00,0.00,0
2021-09-08,KS,38.71,0.51,15
2022-02-06,KS,0.00,0.00,0
2022-05-24,KS,0.00,0.00,0
2022-09-05,KS,0.00,0.00,0
2021-05-18,KS,8.74,0.00,0
2022-01-06,KS,0.00,0.00,0
2020-11-05,KS,0.00,0.00,0
2020-03-13,KS,0.07,0.00,0
2021-08-20,KS,45.15,1.28,38
2022-02-28,KS,16.16,0.30,9
2020-06-09,KS,0.00,0.00,0
2020-11-11,KS,191.41,1.15,34
2021-04-25,KS,5.53,0.00,0
2021-04-19,KS,14.48,0.07,2
2022-09-07,KS,153.54,0.27,8
2021-05-05,KS,7.93,0.47,14
2020-04-29,KS,8.34,0.03,1
2021-11-18,KS,0.00,0.00,0
2020-09-19,KS,0.00,0.00,0
2022-03-10,KS,0.00,0.00,0
2022-07-08,KS,0.00,0.00,0
2021-09-17,KS,54.20,2.16,64
2022-05-06,KS,75.32,1.89,56
2021-05-13,KS,6.18,0.00,0
2020-10-05,KS,53.89,0.27,8
2021-05-30,KS,3.54,0.00,0
2022-10-17,KS,0.00,0.00,0
2022-09-04,KS,0.00,0.00,0
2020-04-07,KS,1.86,0.07,2
2020-03-19,KS,0.47,0.00,0
2021-12-17,KS,145.01,0.47,14
2020-06-25,KS,0.00,0.00,0
2021-08-26,KS,58.25,0.00,0
2021-01-28,KS,0.00,0.00,0
2022-06-04,KS,0.00,0.00,0
2021-01-19,KS,0.00,0.00,0
2022-10-16,KS,0.00,0.00,0
2020-05-04,KS,7.26,0.07,2
2022-09-09,KS,0.00,0.00,0
2020-09-02,KS,44.81,0.40,12
2022-08-19,KS,0.00,0.00,0
2022-07-11,KS,0.00,0.00,0
2021-10-12,KS,35.77,0.00,0
2022-09-22,KS,0.00,0.00,0
2021-09-23,KS,42.62,0.00,0
2022-09-24,KS,0.00,0.00,0
2022-06-09,KS,0.00,0.00,0
2021-05-07,KS,7.90,0.57,17
2020-12-08,KS,0.00,0.00,0
2022-04-15,KS,42.01,0.78,23
2022-03-04,KS,17.31,0.27,8
2021-04-04,KS,0.00,0.00,0
2021-05-20,KS,6.82,0.00,0
2022-03-16,KS,7.63,2.02,60
2020-11-19,KS,0.00,0.00,0
2020-07-25,KS,0.00,0.00,0
2021-04-09,KS,15.83,0.20,6
2021-10-02,KS,20.42,0.03,1
2020-04-25,KS,9.42,0.20,6
2021-06-13,KS,2.73,0.00,0
2022-09-28,KS,89.26,0.24,7
2020-04-05,KS,3.88,0.07,2
2021-02-17,KS,42.76,3.88,115
2020-07-27,KS,35.87,0.30,9
2022-01-09,KS,0.00,0.00,0
2022-03-28,KS,5.06,0.03,1
2020-08-31,KS,52.78,0.10,3
2022-02-07,KS,135.90,0.30,9
2022-06-17,KS,0.00,0.00,0
2021-06-03,KS,5.60,0.00,0
2020-05-06,KS,9.31,0.24,7
2021-12-07,KS,0.00,0.00,0
2021-12-13,KS,109.51,1.52,45
2021-06-25,KS,4.86,0.27,8
2021-02-24,KS,37.86,2.73,81
2021-07-04,KS,7.19,0.03,1
2022-08-15,KS,0.00,0.00,0
2022-03-14,KS,3.21,0.74,22
2022-04-13,KS,0.00,0.00,0
2020-07-28,KS,0.00,0.00,0
2020-07-12,KS,0.00,0.00,0
2022-09-11,KS,0.00,0.00,0
2020-03-09,KS,0.00,0.00,0
2020-03-11,KS,0.00,0.00,0
2022-05-01,KS,0.00,0.00,0
2022-02-24,KS,0.00,0.00,0
2020-03-17,KS,0.17,0.00,0
2020-10-12,KS,69.35,0.27,8
2021-10-10,KS,19.10,0.13,4
2020-09-27,KS,0.00,0.00,0
2020-12-03,KS,0.00,0.00,0
2021-01-04,KS,120.54,0.61,18
2020-06-13,KS,0.00,0.00,0
2022-06-06,KS,0.00,0.00,0
2021-07-24,KS,16.70,0.03,1
2021-06-05,KS,3.44,0.00,0
2021-06-08,KS,6.75,0.00,0
2022-07-22,KS,0.00,0.00,0
2021-08-02,KS,19.20,0.17,5
2022-04-24,KS,0.00,0.00,0
2022-07-13,KS,247.90,-0.13,-4
2020-03-16,KS,0.10,0.00,0
2021-08-07,KS,30.00,0.24,7
2020-04-18,KS,1.72,0.00,0
2020-04-27,KS,5.20,0.07,2
2021-06-17,KS,3.31,0.00,0
2022-07-16,KS,0.00,0.00,0
2020-04-16,KS,3.17,0.13,4
2022-01-31,KS,264.77,0.47,14
2021-03-14,KS,0.00,0.00,0
2022-05-08,KS,0.00,0.00,0
2021-06-06,KS,3.44,0.00,0
2020-08-08,KS,0.00,0.00,0
2022-04-23,KS,0.00,0.00,0
2022-02-05,KS,0.00,0.00,0
2021-05-02,KS,5.77,0.00,0
2022-06-16,KS,0.00,0.00,0
2021-12-12,KS,0.00,0.00,0
2021-12-08,KS,149.93,0.84,25
2020-11-23,KS,253.97,1.55,46
2020-12-15,KS,0.00,0.00,0
2020-12-09,KS,194.98,2.87,85
2022-01-19,KS,1327.10,4.32,128
2020-12-19,KS,0.00,0.00,0
2021-08-16,KS,27.67,0.10,3
2021-03-31,KS,17.21,0.37,11
2020-08-21,KS,32.60,0.27,8
2021-05-21,KS,6.88,0.13,4
2022-10-08,KS,0.00,0.00,0
2022-02-09,KS,150.30,3.21,95
2021-04-22,KS,8.23,0.00,0
2022-07-07,KS,0.00,0.00,0
2021-03-22,KS,20.75,0.27,8
2021-03-21,KS,0.00,0.00,0
2020-08-15,KS,0.00,0.00,0
2021-03-24,KS,27.06,1.05,31
2021-02-01,KS,66.92,1.01,30
2020-04-20,KS,4.62,0.27,8
2021-12-18,KS,0.00,0.00,0
