"REF_DATE","GEO","DGUID","Sex","Selected causes of death (ICD-10)","Characteristics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2000","Canada","2016A000011124","Both sexes","Unintentional injuries","Number of potential years of life lost","Number","223","units ","0","v27573149","1.1.8.1","188758","","","","0"
"2000","Canada","2016A000011124","Both sexes","Unintentional injuries","Potential years of life lost, rate per 100,000 population","Number","223","units ","0","v27573150","1.1.8.2","651.3","","","","1"
"2000","Canada","2016A000011124","Both sexes","Suicides","Number of potential years of life lost","Number","223","units ","0","v27573151","1.1.9.1","116927","","","","0"
"2000","Canada","2016A000011124","Both sexes","Suicides","Potential years of life lost, rate per 100,000 population","Number","223","units ","0","v27573152","1.1.9.2","403.4","","","","1"
"2000","Canada","2016A000011124","Males","Unintentional injuries","Number of potential years of life lost","Number","223","units ","0","v27573153","1.2.8.1","139757","","","","0"
"2000","Canada","2016A000011124","Males","Unintentional injuries","Potential years of life lost, rate per 100,000 population","Number","223","units ","0","v27573154","1.2.8.2","960.2","","","","1"
"2000","Canada","2016A000011124","Males","Suicides","Number of potential years of life lost","Number","223","units ","0","v27573155","1.2.9.1","90962","","","","0"
"2000","Canada","2016A000011124","Males","Suicides","Potential years of life lost, rate per 100,000 population","Number","223","units ","0","v27573156","1.2.9.2","624.9","","","","1"
"2000","Canada","2016A000011124","Females","Unintentional injuries","Number of potential years of life lost","Number","223","units ","0","v27573157","1.3.8.1","49002","","","","0"
"2000","Canada","2016A000011124","Females","Unintentional injuries","Potential years of life lost, rate per 100,000 population","Number","223","units ","0","v27573158","1.3.8.2","339.7","","","","1"
"2000","Canada","2016A000011124","Females","Suicides","Number of potential years of life lost","Number","223","units ","0","v27573159","1.3.9.1","25965","","","","0"
"2000","Canada","2016A000011124","Females","Suicides","Potential years of life lost, rate per 100,000 population","Number","223","units ","0","v27573160","1.3.9.2","180.0","","","","1"
"2000","Newfoundland and Labrador","2016A000210","Both sexes","Unintentional injuries","Number of potential years of life lost","Number","223","units ","0","v27573161","2.1.8.1","4191","","","","0"
"2000","Newfoundland and Labrador","2016A000210","Both sexes","Unintentional injuries","Potential years of life lost, rate per 100,000 population","Number","223","units ","0","v27573162","2.1.8.2","836.7","","","","1"
"2000","Newfoundland and Labrador","2016A000210","Both sexes","Suicides","Number of potential years of life lost","Number","223","units ","0","v27573163","2.1.9.1","1703","","","","0"
"2000","Newfoundland and Labrador","2016A000210","Both sexes","Suicides","Potential years of life lost, rate per 100,000 population","Number","223","units ","0","v27573164","2.1.9.2","340.0","","","","1"
"2000","Newfoundland and Labrador","2016A000210","Males","Unintentional injuries","Number of potential years of life lost","Number","223","units ","0","v27573165","2.2.8.1","3255","","","","0"
"2000","Newfoundland and Labrador","2016A000210","Males","Unintentional injuries","Potential years of life lost, rate per 100,000 population","Number","223","units ","0","v27573166","2.2.8.2","1301.8","","","","1"
"2000","Newfoundland and Labrador","2016A000210","Males","Suicides","Number of potential years of life lost","Number","223","units ","0","v27573167","2.2.9.1","1423","","","","0"
"2000","Newfoundland and Labrador","2016A000210","Males","Suicides","Potential years of life lost, rate per 100,000 population","Number","223","units ","0","v27573168","2.2.9.2","569.2","","","","1"
"2000","Newfoundland and Labrador","2016A000210","Females","Unintentional injuries","Number of potential years of life lost","Number","223","units ","0","v27573169","2.3.8.1","937","","","","0"
"2000","Newfoundland and Labrador","2016A000210","Females","Unintentional injuries","Potential years of life lost, rate per 100,000 population","Number","223","units ","0","v27573170","2.3.8.2","373.3","","","","1"
"2000","Newfoundland and Labrador","2016A000210","Females","Suicides","Number of potential years of life lost","Number","223","units ","0","v27573171","2.3.9.1","280","","","","0"
"2000","Newfoundland and Labrador","2016A000210","Females","Suicides","Potential years of life lost, rate per 100,000 population","Number","223","units ","0","v27573172","2.3.9.2","111.6","","","","1"
"2000","Prince Edward Island","2015A00071100","Both sexes","Unintentional injuries","Number of potential years of life lost","Number","223","units ","0","v27573173","3.1.8.1","1008","","","","0"
"2000","Prince Edward Island","2015A00071100","Both sexes","Unintentional injuries","Potential years of life lost, rate per 100,000 population","Number","223","units ","0","v27573174","3.1.8.2","788.8","","","","1"
"2000","Prince Edward Island","2015A00071100","Both sexes","Suicides","Number of potential years of life lost","Number","223","units ","0","v27573175","3.1.9.1","455","","","","0"
"2000","Prince Edward Island","2015A00071100","Both sexes","Suicides","Potential years of life lost, rate per 100,000 population","Number","223","units ","0","v27573176","3.1.9.2","356.2","","","","1"
"2000","Prince Edward Island","2015A00071100","Males","Unintentional injuries","Number of potential years of life lost","Number","223","units ","0","v27573177","3.2.8.1","830","","","","0"
"2000","Prince Edward Island","2015A00071100","Males","Unintentional injuries","Potential years of life lost, rate per 100,000 population","Number","223","units ","0","v27573178","3.2.8.2","1306.9","","","","1"
"2000","Prince Edward Island","2015A00071100","Males","Suicides","Number of potential years of life lost","Number","223","units ","0","v27573179","3.2.9.1","353","","","","0"
"2000","Prince Edward Island","2015A00071100","Males","Suicides","Potential years of life lost, rate per 100,000 population","Number","223","units ","0","v27573180","3.2.9.2","555.8","","","","1"
"2000","Prince Edward Island","2015A00071100","Females","Unintentional injuries","Number of potential years of life lost","Number","223","units ","0","v27573181","3.3.8.1","178","","","","0"
"2000","Prince Edward Island","2015A00071100","Females","Unintentional injuries","Potential years of life lost, rate per 100,000 population","Number","223","units ","0","v27573182","3.3.8.2","276.4","","","","1"
"2000","Prince Edward Island","2015A00071100","Females","Suicides","Number of potential years of life lost","Number","223","units ","0","v27573183","3.3.9.1","103","","","","0"
"2000","Prince Edward Island","2015A00071100","Females","Suicides","Potential years of life lost, rate per 100,000 population","Number","223","units ","0","v27573184","3.3.9.2","160.4","","","","1"
"2000","Nova Scotia","2016A000212","Both sexes","Unintentional injuries","Number of potential years of life lost","Number","223","units ","0","v27573185","4.1.8.1","5106","","","","0"
"2000","Nova Scotia","2016A000212","Both sexes","Unintentional injuries","Potential years of life lost, rate per 100,000 population","Number","223","units ","0","v27573186","4.1.8.2","583.9","","","","1"
"2000","Nova Scotia","2016A000212","Both sexes","Suicides","Number of potential years of life lost","Number","223","units ","0","v27573187","4.1.9.1","2113","","","","0"
"2000","Nova Scotia","2016A000212","Both sexes","Suicides","Potential years of life lost, rate per 100,000 population","Number","223","units ","0","v27573188","4.1.9.2","241.6","","","","1"
"2000","Nova Scotia","2016A000212","Males","Unintentional injuries","Number of potential years of life lost","Number","223","units ","0","v27573189","4.2.8.1","3639","","","","0"
"2000","Nova Scotia","2016A000212","Males","Unintentional injuries","Potential years of life lost, rate per 100,000 population","Number","223","units ","0","v27573190","4.2.8.2","835.6","","","","1"
"2000","Nova Scotia","2016A000212","Males","Suicides","Number of potential years of life lost","Number","223","units ","0","v27573191","4.2.9.1","1733","","","","0"
"2000","Nova Scotia","2016A000212","Males","Suicides","Potential years of life lost, rate per 100,000 population","Number","223","units ","0","v27573192","4.2.9.2","398.0","","","","1"
"2000","Nova Scotia","2016A000212","Females","Unintentional injuries","Number of potential years of life lost","Number","223","units ","0","v27573193","4.3.8.1","1468","","","","0"
"2000","Nova Scotia","2016A000212","Females","Unintentional injuries","Potential years of life lost, rate per 100,000 population","Number","223","units ","0","v27573194","4.3.8.2","334.3","","","","1"
"2000","Nova Scotia","2016A000212","Females","Suicides","Number of potential years of life lost","Number","223","units ","0","v27573195","4.3.9.1","380","","","","0"
"2000","Nova Scotia","2016A000212","Females","Suicides","Potential years of life lost, rate per 100,000 population","Number","223","units ","0","v27573196","4.3.9.2","86.6","","","","1"
"2000","New Brunswick","2016A000213","Both sexes","Unintentional injuries","Number of potential years of life lost","Number","223","units ","0","v27573197","5.1.8.1","4957","","","","0"
"2000","New Brunswick","2016A000213","Both sexes","Unintentional injuries","Potential years of life lost, rate per 100,000 population","Number","223","units ","0","v27573198","5.1.8.2","703.7","","","","1"
"2000","New Brunswick","2016A000213","Both sexes","Suicides","Number of potential years of life lost","Number","223","units ","0","v27573199","5.1.9.1","3715","","","","0"
"2000","New Brunswick","2016A000213","Both sexes","Suicides","Potential years of life lost, rate per 100,000 population","Number","223","units ","0","v27573200","5.1.9.2","527.4","","","","1"
"2000","New Brunswick","2016A000213","Males","Unintentional injuries","Number of potential years of life lost","Number","223","units ","0","v27573201","5.2.8.1","3799","","","","0"
"2000","New Brunswick","2016A000213","Males","Unintentional injuries","Potential years of life lost, rate per 100,000 population","Number","223","units ","0","v27573202","5.2.8.2","1073.5","","","","1"
"2000","New Brunswick","2016A000213","Males","Suicides","Number of potential years of life lost","Number","223","units ","0","v27573203","5.2.9.1","3298","","","","0"
"2000","New Brunswick","2016A000213","Males","Suicides","Potential years of life lost, rate per 100,000 population","Number","223","units ","0","v27573204","5.2.9.2","931.9","","","","1"
"2000","New Brunswick","2016A000213","Females","Unintentional injuries","Number of potential years of life lost","Number","223","units ","0","v27573205","5.3.8.1","1158","","","","0"
"2000","New Brunswick","2016A000213","Females","Unintentional injuries","Potential years of life lost, rate per 100,000 population","Number","223","units ","0","v27573206","5.3.8.2","330.3","","","","1"
"2000","New Brunswick","2016A000213","Females","Suicides","Number of potential years of life lost","Number","223","units ","0","v27573207","5.3.9.1","418","","","","0"
"2000","New Brunswick","2016A000213","Females","Suicides","Potential years of life lost, rate per 100,000 population","Number","223","units ","0","v27573208","5.3.9.2","119.3","","","","1"
"2000","Quebec","2016A000224","Both sexes","Unintentional injuries","Number of potential years of life lost","Number","223","units ","0","v27573209","6.1.8.1","41810","","","","0"
"2000","Quebec","2016A000224","Both sexes","Unintentional injuries","Potential years of life lost, rate per 100,000 population","Number","223","units ","0","v27573210","6.1.8.2","601.0","","","","1"
"2000","Quebec","2016A000224","Both sexes","Suicides","Number of potential years of life lost","Number","223","units ","0","v27573211","6.1.9.1","42115","","","","0"
"2000","Quebec","2016A000224","Both sexes","Suicides","Potential years of life lost, rate per 100,000 population","Number","223","units ","0","v27573212","6.1.9.2","605.4","","","","1"
"2000","Quebec","2016A000224","Males","Unintentional injuries","Number of potential years of life lost","Number","223","units ","0","v27573213","6.2.8.1","31343","","","","0"
"2000","Quebec","2016A000224","Males","Unintentional injuries","Potential years of life lost, rate per 100,000 population","Number","223","units ","0","v27573214","6.2.8.2","899.4","","","","1"
"2000","Quebec","2016A000224","Males","Suicides","Number of potential years of life lost","Number","223","units ","0","v27573215","6.2.9.1","33960","","","","0"
"2000","Quebec","2016A000224","Males","Suicides","Potential years of life lost, rate per 100,000 population","Number","223","units ","0","v27573216","6.2.9.2","974.5","","","","1"
"2000","Quebec","2016A000224","Females","Unintentional injuries","Number of potential years of life lost","Number","223","units ","0","v27573217","6.3.8.1","10467","","","","0"
"2000","Quebec","2016A000224","Females","Unintentional injuries","Potential years of life lost, rate per 100,000 population","Number","223","units ","0","v27573218","6.3.8.2","301.5","","","","1"
"2000","Quebec","2016A000224","Females","Suicides","Number of potential years of life lost","Number","223","units ","0","v27573219","6.3.9.1","8155","","","","0"
"2000","Quebec","2016A000224","Females","Suicides","Potential years of life lost, rate per 100,000 population","Number","223","units ","0","v27573220","6.3.9.2","234.9","","","","1"
"2000","Ontario","2016A000235","Both sexes","Unintentional injuries","Number of potential years of life lost","Number","223","units ","0","v27573221","7.1.8.1","52239","","","","0"
